word;frequency;cobertura;word_order
yeah;0.0045;0.0045;1
go;0.0033;0.0078;2
mum;0.0025;0.0102;3
get;0.0025;0.0127;4
yes;0.0020;0.0147;5
like;0.0020;0.0168;6
there;0.0016;0.0184;7
do;0.0016;0.0201;8
have;0.0016;0.0217;9
that;0.0012;0.0229;10
say;0.0012;0.0242;11
her;0.0012;0.0254;12
up;0.0012;0.0266;13
out;0.0012;0.0279;14
i;0.0012;0.0291;15
lose;0.0012;0.0303;16
one;0.0008;0.0311;17
it;0.0008;0.032;18
all;0.0008;0.0328;19
dad;0.0008;0.0336;20
no;0.0008;0.0344;21
know;0.0008;0.0352;22
home;0.0008;0.0361;23
my;0.0004;0.0365;24
then;0.0004;0.0369;25
they;0.0004;0.0373;26
wa;0.0004;0.0377;27
in;0.0004;0.0381;28
the;0.0004;0.0385;29
for;0.0004;0.0389;30
not;0.0004;0.0393;31
and;0.0004;0.0397;32
when;0.0004;0.0401;33
on;0.0004;0.0406;34
at;0.0004;0.041;35
you;0.0004;0.0414;36
to;0.0004;0.0418;37
a;0.0004;0.0422;38
his;0.0004;0.0426;39
be;0.0004;0.043;40
this;0.0004;0.0434;41
of;0.0004;0.0438;42
with;0.0004;0.0442;43
she;0.0004;0.0447;44
but;0.0004;0.0451;45
he;0.0004;0.0455;46
